image,noise_ratio,method,psnr_db,time_s
cameraman,0.30,noisy,10.2961,0.0000
cameraman,0.30,amf,31.1876,0.4487
cameraman,0.30,restored,37.8944,22.7341
cameraman,0.50,noisy,8.0967,0.0000
cameraman,0.50,amf,27.2975,0.4494
cameraman,0.50,restored,32.1355,29.3563
house,0.30,noisy,10.4004,0.0000
house,0.30,amf,37.6155,0.2082
house,0.30,restored,41.4544,23.4418
house,0.50,noisy,8.2066,0.0000
house,0.50,amf,32.6919,0.3980
house,0.50,restored,34.9021,23.9740
jetplane,0.30,noisy,10.1123,0.0000
jetplane,0.30,amf,30.7876,0.2355
jetplane,0.30,restored,36.9568,21.0780
jetplane,0.50,noisy,7.9213,0.0000
jetplane,0.50,amf,27.0386,0.4315
jetplane,0.50,restored,32.4536,22.8933
lake,0.30,noisy,10.2167,0.0000
lake,0.30,amf,28.9007,0.2444
lake,0.30,restored,34.0040,21.3489
lake,0.50,noisy,8.0138,0.0000
lake,0.50,amf,25.4267,0.4366
lake,0.50,restored,30.3588,22.0500
lena_color_256,0.30,noisy,10.7097,0.0000
lena_color_256,0.30,amf,30.8457,0.0587
lena_color_256,0.30,restored,34.5700,2.3107
lena_color_256,0.50,noisy,8.4975,0.0000
lena_color_256,0.50,amf,26.8112,0.1131
lena_color_256,0.50,restored,29.5150,2.3200
lena_color_512,0.30,noisy,10.6688,0.0000
lena_color_512,0.30,amf,32.7472,0.2539
lena_color_512,0.30,restored,37.4710,21.0648
lena_color_512,0.50,noisy,8.4557,0.0000
lena_color_512,0.50,amf,29.1840,0.4429
lena_color_512,0.50,restored,30.9479,22.7343
lena_gray_256,0.30,noisy,10.6978,0.0000
lena_gray_256,0.30,amf,29.6727,0.0631
lena_gray_256,0.30,restored,32.7199,2.1461
lena_gray_256,0.50,noisy,8.4862,0.0000
lena_gray_256,0.50,amf,26.1188,0.1150
lena_gray_256,0.50,restored,29.3835,2.4375
lena_gray_512,0.30,noisy,10.6688,0.0000
lena_gray_512,0.30,amf,32.7471,0.2914
lena_gray_512,0.30,restored,37.4677,21.9922
lena_gray_512,0.50,noisy,8.4558,0.0000
lena_gray_512,0.50,amf,29.1840,0.4468
lena_gray_512,0.50,restored,30.9487,22.6713
livingroom,0.30,noisy,10.7275,0.0000
livingroom,0.30,amf,28.8293,0.2419
livingroom,0.30,restored,33.8835,21.0912
livingroom,0.50,noisy,8.5233,0.0000
livingroom,0.50,amf,25.9060,0.4438
livingroom,0.50,restored,29.4775,23.1657
mandril_color,0.30,noisy,10.7672,0.0000
mandril_color,0.30,amf,24.2434,0.2475
mandril_color,0.30,restored,27.3453,22.8275
mandril_color,0.50,noisy,8.5554,0.0000
mandril_color,0.50,amf,22.3971,0.4536
mandril_color,0.50,restored,24.4506,22.5327
mandril_gray,0.30,noisy,10.8374,0.0000
mandril_gray,0.30,amf,27.0688,0.2434
mandril_gray,0.30,restored,32.8738,20.9729
mandril_gray,0.50,noisy,8.6254,0.0000
mandril_gray,0.50,amf,24.3193,0.4360
mandril_gray,0.50,restored,28.7664,23.5488
peppers_color,0.30,noisy,10.0108,0.0000
peppers_color,0.30,amf,25.0756,0.2400
peppers_color,0.30,restored,27.4127,22.8747
peppers_color,0.50,noisy,7.8119,0.0000
peppers_color,0.50,amf,23.0334,0.4213
peppers_color,0.50,restored,25.0545,23.9337
peppers_gray,0.30,noisy,10.4988,0.0000
peppers_gray,0.30,amf,32.5790,0.2160
peppers_gray,0.30,restored,35.9923,22.2419
peppers_gray,0.50,noisy,8.2961,0.0000
peppers_gray,0.50,amf,29.4006,0.4025
peppers_gray,0.50,restored,32.3293,23.0338
pirate,0.30,noisy,10.6308,0.0000
pirate,0.30,amf,30.6086,0.2575
pirate,0.30,restored,34.9469,21.2981
pirate,0.50,noisy,8.4110,0.0000
pirate,0.50,amf,27.4377,0.4577
pirate,0.50,restored,31.3079,23.0588
walkbridge,0.30,noisy,10.4817,0.0000
walkbridge,0.30,amf,26.8096,0.2361
walkbridge,0.30,restored,30.8230,20.9109
walkbridge,0.50,noisy,8.2695,0.0000
walkbridge,0.50,amf,24.2062,0.4488
walkbridge,0.50,restored,27.4524,22.7560
woman_blonde,0.30,noisy,10.7820,0.0000
woman_blonde,0.30,amf,28.5768,0.2489
woman_blonde,0.30,restored,30.9947,21.1117
woman_blonde,0.50,noisy,8.5753,0.0000
woman_blonde,0.50,amf,26.6132,0.4481
woman_blonde,0.50,restored,28.1747,22.8074
woman_darkhair,0.30,noisy,10.2634,0.0000
woman_darkhair,0.30,amf,38.8662,0.2562
woman_darkhair,0.30,restored,43.4567,22.2095
woman_darkhair,0.50,noisy,8.0453,0.0000
woman_darkhair,0.50,amf,34.9289,0.4258
woman_darkhair,0.50,restored,38.2138,22.5846
