potential,noise_ratio,alpha,beta,mean_psnr,std_psnr,mean_snr,std_snr,mean_iter,std_iter,mean_time_s,std_time_s
sqrt,0.30,1e-06,50.0000,33.9469,4.0364,28.2365,3.8564,320.00,0.00,15.3730,5.9893
power,0.30,1.1,30.0000,34.2088,4.1216,28.4984,3.9431,320.00,0.00,22.3901,8.4297
logcosh,0.30,2.5,50.0000,33.9566,4.1167,28.2462,3.9311,320.00,0.00,27.4835,10.0514
log,0.30,0.9,50.0000,34.3370,4.3069,28.6266,4.1223,320.00,0.00,22.7732,8.1965
huber,0.30,1.0,50.0000,33.8437,4.0594,28.1333,3.8742,320.00,0.00,20.5164,7.7621
sqrt,0.50,1e-06,50.0000,29.3470,2.9494,23.6365,2.7701,320.00,0.00,15.9158,5.8580
power,0.50,1.1,50.0000,30.0413,3.2288,24.3309,3.0577,320.00,0.00,22.8701,8.2154
logcosh,0.50,2.5,50.0000,30.6488,3.8254,24.9384,3.6526,320.00,0.00,27.5912,9.7008
log,0.50,0.9,10.0000,30.9130,3.9688,25.2025,3.7981,320.00,0.00,23.9023,9.0695
huber,0.50,1.0,50.0000,30.6141,3.8002,24.9037,3.6289,320.00,0.00,21.6987,8.2376
