method,metric,mean,std
PRP+,iterations,116,7.8230429
PRP+,restarts,0.4,0.48989795
PRP+,time_s,0.57294399,0.099676986
PRP+,objective,6.6983767,0.28376929
PRP+,rel_error,0.23618038,0.0080575348
PRP+,mse,0.0021814882,0.00014829445
PRP+,snr_db,12.540205,0.2975472
PRP+,support_f1,0.87579122,0.021267295
GPSR-BB,iterations,21.9,2.2113344
GPSR-BB,restarts,0,0
GPSR-BB,time_s,0.04203883,0.0057053057
GPSR-BB,objective,6.6986675,0.2837397
GPSR-BB,rel_error,0.24123115,0.0082032075
GPSR-BB,mse,0.0022757718,0.00015399529
GPSR-BB,snr_db,12.35639,0.29698451
GPSR-BB,support_f1,0.85534713,0.027407094
ISTA,iterations,72.6,6.5452273
ISTA,restarts,0,0
ISTA,time_s,0.15489526,0.023538783
ISTA,objective,6.6989567,0.28369348
ISTA,rel_error,0.24363602,0.0085319245
ISTA,mse,0.0023215353,0.00016194689
ISTA,snr_db,12.270526,0.30548241
ISTA,support_f1,0.84979089,0.029008095
FISTA,iterations,33.2,2.8565714
FISTA,restarts,0,0
FISTA,time_s,0.0693984,0.0098942567
FISTA,objective,6.698755,0.28376086
FISTA,rel_error,0.23925596,0.0078054466
FISTA,mse,0.0022384508,0.00014598566
FISTA,snr_db,12.42737,0.28354289
FISTA,support_f1,0.86945314,0.022700898
